Title,Genre,Director
Seed of Chucky,Drama Horror Comedy,Don Mancini
The Jacket,Drama Mystery Thriller Fantasy,John Maybury
Aladdin,Animation Family Comedy Adventure Fantasy,Ron Clements
Straight Outta Compton,Drama Music,F. Gary Gray
Indiana Jones and the Temple of Doom,Adventure Action,Steven Spielberg
The Rugrats Movie,Animation Family,Norton Virgien
Along Came a Spider,Crime Mystery Thriller Action,Lee Tamahori
Florence Foster Jenkins,Comedy Drama,Stephen Frears
Once Upon a Time in Mexico,Action,Robert Rodriguez
Die Hard,Action Thriller,John McTiernan
Role Models,Comedy,David Wain
The Big Short,Comedy Drama,Adam McKay
Taking Woodstock,Music Comedy Drama,Ang Lee
Miracle,Drama History,Gavin O'Connor
Dawn of the Dead,Fantasy Horror Action,Zack Snyder
The Wedding Planner,Comedy,Adam Shankman
キャプテンハーロック,Animation Science Fiction,Shinji Aramaki
The Royal Tenenbaums,Comedy Drama,Wes Anderson
Identity,Mystery Thriller,James Mangold
Last Vegas,Comedy,Jon Turteltaub
For Your Eyes Only,Adventure Action Thriller,John Glen
Serendipity,Comedy Romance,Peter Chelsom
Timecop,Thriller Science Fiction Action Crime,Peter Hyams
Zoolander,Comedy,Ben Stiller
Safe Haven,Romance,Lasse Hallstr\u00f6m
Hocus Pocus,Comedy Family Fantasy,Kenny Ortega
No Reservations,Comedy,Scott Hicks
Kick-Ass,Action Crime,Matthew Vaughn
30 Minutes or Less,Action Adventure Comedy,Ruben Fleischer
Dracula 2000,Thriller Horror,Patrick Lussier
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Family Comedy,Miguel Arteta
Pride & Prejudice,Drama Romance,Joe Wright
Blade Runner,Science Fiction Drama Thriller,Ridley Scott
Rob Roy,Adventure,Michael Caton-Jones
3 Days to Kill,Action Drama Thriller Crime,McG
We Own the Night,Drama Crime Thriller,James Gray
Lost Souls,Horror Thriller,Janusz Kami\u0144ski
Le peuple migrateur,Documentary,Jacques Perrin
Just My Luck,Comedy Drama Family Fantasy Romance,Donald Petrie
"Mystery, Alaska",Drama Comedy,Jay Roach
The Spy Next Door,Action Comedy Family,Brian Levant
A Simple Wish,Adventure Comedy Family Fantasy,Michael Ritchie
Ghosts of Mars,Action Horror Science Fiction,John Carpenter
Our Brand Is Crisis,Comedy Drama,David Gordon Green
Pride and Prejudice and Zombies,Romance Horror Comedy Thriller,Burr Steers
Kundun,Drama,Martin Scorsese
How to Lose Friends & Alienate People,Comedy Romance Drama,Robert B. Weide
Kick-Ass 2,Action Adventure Crime,Jeff Wadlow
Alatriste,Action,Agust\u00edn D\u00edaz Yanes
Brick Mansions,Action Crime Drama,Camille Delamarre
Octopussy,Adventure Action Thriller,John Glen
Knocked Up,Comedy Romance Drama,Judd Apatow
My Sister's Keeper,Drama,Nick Cassavetes
Welcome Home Roscoe Jenkins,Comedy Drama,Malcolm D. Lee
A Passage to India,Drama Adventure History,David Lean
Notes on a Scandal,Drama Romance,Richard Eyre
Rendition,Drama Thriller,Gavin Hood
Star Trek VI: The Undiscovered Country,Science Fiction Action Adventure Thriller,Nicholas Meyer
Divine Secrets of the Ya-Ya Sisterhood,Comedy Drama Romance,Callie Khouri
Kiss the Girls,Drama Mystery Thriller Crime,Gary Fleder
The Blues Brothers,Music Comedy Action Crime,John Landis
The Sisterhood of the Traveling Pants 2,Adventure Comedy Drama Family,Sanaa Hamri
Joyful Noise,Comedy Music,Todd Graff
About a Boy,Drama Comedy Romance,Chris Weitz
Lake Placid,Horror Comedy Action Science Fiction Thriller,Steve Miner
Lucky Number Slevin,Drama Thriller Crime Mystery,Paul McGuigan
The Right Stuff,Drama History,Philip Kaufman
Anonymous,Drama History Thriller,Roland Emmerich
The Neverending Story,Drama Family Fantasy Adventure,Wolfgang Petersen
Dark City,Mystery Science Fiction,Alex Proyas
The Duchess,Drama History Romance,Saul Dibb
Return to Oz,Adventure Family Fantasy,Walter Murch
The Newton Boys,Crime Action Drama,Richard Linklater
Case 39,Horror Mystery Thriller,Christian Alvart
Suspect Zero,Crime Thriller,E. Elias Merhige
Martian Child,Drama,Menno Meyjes
Spy Kids: All the Time in the World,Family Comedy Action,Robert Rodriguez
Money Monster,Thriller,Jodie Foster
The 51st State,Thriller Action Comedy Crime,Ronny Yu
Flawless,Comedy Drama,Joel Schumacher
Mindhunters,Mystery Thriller Crime,Renny Harlin
What Just Happened,Comedy Drama,Barry Levinson
The Statement,Drama Thriller,Norman Jewison
The Magic Flute,Comedy Drama Music,Kenneth Branagh
Paul Blart: Mall Cop,Action Adventure Comedy Family,Steve Carr
Freaky Friday,Comedy,Mark Waters
The 40 Year Old Virgin,Comedy Romance,Judd Apatow
Shakespeare in Love,Romance History,John Madden
A Walk Among the Tombstones,Crime Drama Mystery Thriller,Scott Frank
Kindergarten Cop,Comedy,Ivan Reitman
Pineapple Express,Action Comedy,David Gordon Green
EverAfter,Drama Romance Comedy,Andy Tennant
Open Range,Western,Kevin Costner
Flatliners,Drama Horror Science Fiction Thriller,Joel Schumacher
A Bridge Too Far,Drama History War,Richard Attenborough
Red Eye,Horror Thriller,Wes Craven
Final Destination 2,Horror Mystery,David R. Ellis
"O Brother, Where Art Thou?",Action Adventure Comedy,Joel Coen
Legion,Horror,Scott Stewart
Pain & Gain,Thriller Crime Action,Michael Bay
In Good Company,Comedy Drama Romance,Paul Weitz
Clockstoppers,Adventure Family Science Fiction Thriller,Jonathan Frakes
Silverado,Action Crime Drama Western,Lawrence Kasdan
Brothers,Drama Thriller War,Jim Sheridan
Agent Cody Banks 2: Destination London,Comedy,Kevin Allen
New Year's Eve,Comedy Romance,Garry Marshall
Original Sin,Drama Thriller Mystery Romance,Michael Cristofer
The Raven,Crime Thriller Mystery,James McTeigue
Welcome to Mooseport,Comedy,Donald Petrie
Highlander III: The Sorcerer,Action Fantasy Science Fiction,Andrew Morahan
Blood and Wine,Crime Drama Thriller,Bob Rafelson
Snow White: A Tale of Terror,Fantasy Horror,Michael Cohn
The Curse of the Jade Scorpion,Comedy Crime Mystery Romance Thriller,Woody Allen
Accidental Love,Romance Comedy,David O. Russell
Flipper,Adventure Family,Alan Shapiro
Self/less,Science Fiction Mystery Thriller,Tarsem Singh
The Constant Gardener,Drama Mystery Thriller,Fernando Meirelles
The Passion of the Christ,Drama,Mel Gibson
Mrs. Doubtfire,Comedy Drama Family,Chris Columbus
Rain Man,Drama,Barry Levinson
Gran Torino,Drama,Clint Eastwood
W.,Drama History,Oliver Stone
Taken,Action Thriller,Pierre Morel
The Best of Me,Drama Romance,Michael Hoffman
The Bodyguard,Thriller Action Drama Music Romance,Mick Jackson
Schindler's List,Drama History War,Steven Spielberg
The Help,Drama,Tate Taylor
The Fifth Estate,Drama Thriller,Bill Condon
Scooby-Doo 2: Monsters Unleashed,Mystery Fantasy Adventure Comedy,Raja Gosnell
Viy,Thriller Adventure Mystery Fantasy,Oleg Stepchenko
Freddy vs. Jason,Horror,Ronny Yu
The Face of an Angel,Thriller Drama,Michael Winterbottom
Jimmy Neutron: Boy Genius,Action Adventure Animation Comedy Family,John A. Davis
Cloverfield,Action Thriller Science Fiction,Matt Reeves
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Science Fiction Adventure Action Comedy Family,Michael Pressman
The Untouchables,Crime Drama History Thriller,Brian De Palma
No Country for Old Men,Crime Drama Thriller,Joel Coen
Ride Along,Action Comedy,Tim Story
Bridget Jones's Diary,Comedy Romance Drama,Sharon Maguire
Chocolat,Comedy Drama Romance,Lasse Hallstr\u00f6m
"Legally Blonde 2: Red, White & Blonde",Comedy,Charles Herman-Wurmfeld
Parental Guidance,Comedy,Andy Fickman
No Strings Attached,Comedy Romance,Ivan Reitman
Tombstone,Action Adventure Drama History Western,George P. Cosmatos
Romeo Must Die,Action Crime Thriller,Andrzej Bartkowiak
The Omen,Horror Thriller,Richard Donner
Final Destination 3,Horror Mystery,James Wong
The Lucky One,Drama Romance,Scott Hicks
Bridge to Terabithia,Adventure Drama Family,G\u00e1bor Csup\u00f3
Finding Neverland,Drama,Marc Forster
A Madea Christmas,Comedy Drama,Tyler Perry
The Grey,Action Drama Thriller,Joe Carnahan
Hide and Seek,Horror Mystery Thriller,John Polson
Anchorman: The Legend of Ron Burgundy,Comedy,Adam McKay
GoodFellas,Drama Crime,Martin Scorsese
Agent Cody Banks,Action,Harald Zwart
Nanny McPhee,Fantasy Comedy Family,Kirk Jones
Scarface,Action Crime Drama Thriller,Brian De Palma
Nothing to Lose,Action Adventure Comedy,Steve Oedekerk
The Last Emperor,Drama History,Bernardo Bertolucci
Contraband,Thriller Action Drama Crime,Baltasar Korm\u00e1kur
Money Talks,Action Adventure Comedy,Brett Ratner
There Will Be Blood,Drama,Paul Thomas Anderson
The Wild Thornberrys Movie,Animation Adventure Family,Cathy Malkasian
Rugrats Go Wild,Animation Family,Norton Virgien
Undercover Brother,Action Comedy,Malcolm D. Lee
The Sisterhood of the Traveling Pants,Drama Comedy,Ken Kwapis
Kiss of the Dragon,Action Crime Thriller,Chris Nahon
The House Bunny,Romance Comedy,Fred Wolf
Beauty Shop,Comedy Romance,Bille Woodruff
Million Dollar Arm,Drama,Craig Gillespie
The Giver,Drama Science Fiction,Phillip Noyce
What a Girl Wants,Comedy,Dennie Gordon
Jeepers Creepers 2,Horror Thriller,Victor Salva
Good Luck Chuck,Comedy Drama Romance,Mark Helfrich
Cradle 2 the Grave,Action Crime Drama,Andrzej Bartkowiak
The Hours,Drama,Stephen Daldry
She's the Man,Comedy Drama Family Romance,Andy Fickman
Mr. Bean's Holiday,Family Comedy,Steve Bendelack
Anacondas: The Hunt for the Blood Orchid,Adventure Action Horror Science Fiction Thriller,Dwight H. Little
Blood Ties,Thriller Crime Drama,Guillaume Canet
August Rush,Drama,Kirsten Sheridan
Elizabeth,Drama History,Shekhar Kapur
Bride of Chucky,Horror Comedy,Ronny Yu
Tora! Tora! Tora!,History Action Drama Adventure War,Richard Fleischer
Spice World,Adventure Fantasy Drama Comedy Music,Bob Spiers
The Sitter,Comedy,David Gordon Green
Dance Flick,Action Comedy Music,Damien Dante Wayans
The Shawshank Redemption,Drama Crime,Frank Darabont
Crocodile Dundee in Los Angeles,Adventure Comedy,Simon Wincer
Kingpin,Comedy,Bobby Farrelly
The Gambler,Thriller Crime Drama,Rupert Wyatt
August: Osage County,Comedy Drama,John Wells
Ice Princess,Drama Comedy Family,Tim Fywell
A Lot Like Love,Comedy,Nigel Cole
Eddie the Eagle,Comedy Drama History,Dexter Fletcher
He Got Game,Drama,Spike Lee
Don Juan DeMarco,Romance Drama Comedy,Jeremy Leven
Dear John,Drama Romance War,Lasse Hallstr\u00f6m
The Losers,Action Adventure Crime Mystery Thriller,Sylvain White
Don't Be Afraid of the Dark,Fantasy Horror Thriller,Troy Nixey
War,Action Thriller Crime,Philip G. Atwell
Punch-Drunk Love,Comedy Drama Romance,Paul Thomas Anderson
EuroTrip,Comedy,Jeff Schaffer
Half Past Dead,Crime Action Thriller,Don Michael Paul
Unaccompanied Minors,Comedy Family,Paul Feig
"Bright Lights, Big City",Drama,James Bridges
The Adventures of Pinocchio,Animation Family Fantasy,Steve Barron
The Greatest Game Ever Played,Drama Family,Bill Paxton
The Box,Thriller Science Fiction,Richard Kelly
The Ruins,Drama Horror,Carter Smith
The Next Best Thing,Comedy,John Schlesinger
My Soul to Take,Drama Horror Mystery Thriller,Wes Craven
The Girl Next Door,Comedy,Luke Greenfield
Maximum Risk,Action Adventure Thriller,Ringo Lam
Stealing Harvard,Action Comedy Drama,Bruce McCulloch
Legend,Crime Thriller,Brian Helgeland
Hot Rod,Action Comedy,Akiva Schaffer
Shark Night,Horror Thriller,David R. Ellis
Angela's Ashes,Drama,Alan Parker
Draft Day,Drama,Ivan Reitman
Lifeforce,Fantasy Horror Science Fiction Thriller,Tobe Hooper
The Conspirator,Crime Drama History,Robert Redford
Lords of Dogtown,Drama,Catherine Hardwicke
The 33,Drama History,Patricia Riggen
Big Trouble in Little China,Action Adventure Comedy Fantasy,John Carpenter
Un Plan parfait,Comedy Romance,Pascal Chaumeil
Warrior,Action Drama,Gavin O'Connor
Michael Collins,Drama Thriller,Neil Jordan
Gettysburg,War Drama History,Ronald F. Maxwell
Stop-Loss,Drama War,Kimberly Peirce
Abandon,Drama Mystery Thriller,Stephen Gaghan
Brokedown Palace,Drama Thriller,Jonathan Kaplan
The Possession,Horror Thriller,Ole Bornedal
Mrs. Winterbourne,Comedy Romance Drama,Richard Benjamin
Straw Dogs,Drama Thriller,Rod Lurie
The Hoax,Comedy Drama,Lasse Hallstr\u00f6m
Stone Cold,Action Crime Thriller,Craig R. Baxley
The Road,Adventure Drama,John Hillcoat
Sheena,Action Adventure Comedy Fantasy Science Fiction,John Guillermin
Underclassman,Action Comedy,Marcos Siega
Say It Isn't So,Comedy Romance,J.B. Rogers
The World's Fastest Indian,Drama,Roger Donaldson
Tank Girl,Action Comedy Fantasy Science Fiction,Rachel Talalay
King's Ransom,Comedy Crime,Jeffrey W. Byrd
Blindness,Drama Mystery Science Fiction Thriller,Fernando Meirelles
BloodRayne,Action Adventure Fantasy Horror,Uwe Boll
Carnage,Comedy Drama,Roman Polanski
Where the Truth Lies,Drama Mystery Thriller,Atom Egoyan
Cirque du Soleil: Worlds Away,Fantasy Family,Andrew Adamson
Without Limits,Drama,Robert Towne
Me and Orson Welles,Comedy Drama Romance,Richard Linklater
La migliore offerta,Drama Romance Crime Mystery,Giuseppe Tornatore
The Bad Lieutenant: Port of Call - New Orleans,Drama Crime,Werner Herzog
Sammy's avonturen: De geheime doorgang,Animation Family,Ben Stassen
Les petits mouchoirs,Comedy Drama,Guillaume Canet
Love Ranch,Drama,Taylor Hackford
La véritable histoire du Chat Botté,Family Adventure Animation,J\u00e9r\u00f4me Deschamps
Белка и Стрелка. Звёздные собаки,Family Animation,Inna Evlannikova
The Counselor,Thriller Crime Drama,Ridley Scott
Ironclad,Romance Adventure Action History,Jonathan English
Waterloo,History Action Drama,Sergey Bondarchuk
一個人的武林,Crime Action Thriller,Teddy Chan
Red Sky,Action Thriller,Mario Van Peebles
Dangerous Liaisons,Drama Romance,Stephen Frears
On the Road,Adventure Drama,Walter Salles
Star Trek IV: The Voyage Home,Science Fiction Adventure,Leonard Nimoy
Rocky Balboa,Drama,Sylvester Stallone
Scream 2,Horror Mystery,Wes Craven
Jane Got a Gun,Action Drama Western,Gavin O'Connor
Think Like a Man Too,Comedy Romance,Tim Story
The Whole Nine Yards,Comedy Crime,Jonathan Lynn
Footloose,Drama Family Music Romance,Herbert Ross
Old School,Comedy,Todd Phillips
The Fisher King,Comedy Drama,Terry Gilliam
I Still Know What You Did Last Summer,Horror Mystery Thriller,Danny Cannon
Return to Me,Romance Comedy Drama,Bonnie Hunt
Zack and Miri Make a Porno,Comedy,Kevin Smith
Nurse Betty,Comedy Crime Thriller,Neil LaBute
The Men Who Stare at Goats,Comedy War,Grant Heslov
Double Take,Adventure Drama Action Comedy Romance,George Gallo
"Girl, Interrupted",Drama,James Mangold
Win a Date with Tad Hamilton!,Comedy Romance,Robert Luketic
Muppets from Space,Fantasy Comedy Science Fiction Family,Tim Hill
The Wiz,Adventure Family Fantasy Music,Sidney Lumet
Ready to Rumble,Action Comedy Drama,Brian Robbins
Play It to the Bone,Comedy Drama,Ron Shelton
I Don't Know How She Does It,Romance Comedy,Douglas McGrath
Piranha 3D,Comedy Horror,Alexandre Aja
Beyond the Sea,Drama Music,Kevin Spacey
Meet the Deedles,Animation Comedy Family,Steve Boyum
The Thief and the Cobbler,Adventure Fantasy Animation Science Fiction Family,Richard Williams
The Bridge of San Luis Rey,Romance Drama,Mary McGuckian
Faster,Crime Drama Action Thriller,"George Tillman, Jr."
ハウルの動く城,Fantasy Animation Adventure,Hayao Miyazaki
Zombieland,Comedy Horror,Ruben Fleischer
The Waterboy,Comedy,Frank Coraci
The Empire Strikes Back,Adventure Action Science Fiction,Irvin Kershner
Bad Boys,Action Comedy Crime Thriller,Michael Bay
The Naked Gun 2½: The Smell of Fear,Comedy Crime,David Zucker
Final Destination,Horror,James Wong
The Ides of March,Drama,George Clooney
Pitch Black,Thriller Science Fiction Action,David Twohy
Someone Like You...,Comedy Romance,Tony Goldwyn
Her,Romance Science Fiction Drama,Spike Jonze
Joy Ride,Mystery Thriller Drama,John Dahl
The Adventurer: The Curse of the Midas Box,Fantasy Adventure Family,Jonathan Newman
Anywhere But Here,Drama Comedy Romance,Wayne Wang
The Crew,Action Comedy,Michael Dinner
Haywire,Action Thriller,Steven Soderbergh
Jaws: The Revenge,Adventure Thriller,Joseph Sargent
Marvin's Room,Drama,Jerry Zaks
The Longshots,Drama Family,Fred Durst
The End of the Affair,Drama,Neil Jordan
Harley Davidson and the Marlboro Man,Action Thriller,Simon Wincer
In the Valley of Elah,History Drama Thriller Crime Mystery,Paul Haggis
Coco avant Chanel,Drama History,Anne Fontaine
Forsaken,Western Drama,Jon Cassar
Chéri,Drama Comedy Romance,Stephen Frears
Vanity Fair,Drama Romance,Mira Nair
十月圍城,Drama Action History,Teddy Chan
1408,Horror Thriller,Mikael H\u00e5fstr\u00f6m
Spaceballs,Comedy Science Fiction,Mel Brooks
The Water Diviner,War Drama,Russell Crowe
Ghost,Fantasy Drama Thriller Mystery Romance,Jerry Zucker
There's Something About Mary,Romance Comedy,Bobby Farrelly
The Santa Clause,Fantasy Drama Comedy Family,John Pasquin
The Rookie,Drama Family,John Lee Hancock
The Game Plan,Comedy Family,Andy Fickman
The Bridges of Madison County,Drama Romance,Clint Eastwood
The Animal,Action Comedy,Luke Greenfield
Gandhi,Drama History,Richard Attenborough
The Hundred-Foot Journey,Drama,Lasse Hallstr\u00f6m
The Net,Crime Drama Mystery Thriller Action,Irwin Winkler
I Am Sam,Drama,Jessie Nelson
Son of God,Drama,Christopher Spencer
Underworld,Fantasy Action Thriller,Len Wiseman
Derailed,Drama Thriller,Mikael H\u00e5fstr\u00f6m
The Informant!,Drama Comedy Crime,Steven Soderbergh
Shadowlands,Drama Romance,Richard Attenborough
Deuce Bigalow: European Gigolo,Comedy,Mike Bigelow
Delivery Man,Comedy,Ken Scott
Our Kind of Traitor,Thriller,Susanna White
Saving Silverman,Comedy Crime Romance,Dennis Dugan
Diary of a Wimpy Kid: Dog Days,Comedy Family,David Bowers
Summer of Sam,Thriller Drama Crime Romance,Spike Lee
Jay and Silent Bob Strike Back,Comedy,Kevin Smith
The Glass House,Drama Thriller,Daniel Sackheim
"Hail, Caesar!",Comedy Drama Mystery,Joel Coen
Josie and the Pussycats,Comedy Music,Deborah Kaplan
Homefront,Action Thriller,Gary Fleder
The Little Vampire,Family Horror,Uli Edel
I Heart Huckabees,Comedy Romance,David O. Russell
RoboCop 3,Action Adventure Crime Science Fiction Thriller,Fred Dekker
Megiddo: The Omega Code 2,Action Science Fiction Thriller,Brian Trenchard-Smith
Darling Lili,Drama Comedy Thriller Music Romance,Blake Edwards
Dudley Do-Right,Comedy Family Romance,Hugh Wilson
The Transporter Refueled,Thriller Action Crime,Camille Delamarre
The Libertine,Drama Romance,Laurence Dunmore
Zwartboek,Drama Thriller War,Paul Verhoeven
Joyeux Noël,Romance Drama History War Music,Christian Carion
Hit & Run,Action Comedy Romance,Dax Shepard
Mad Money,Action Comedy Crime,Callie Khouri
Before I Go to Sleep,Mystery Thriller,Rowan Joffe
Sorcerer,Action Thriller Adventure,William Friedkin
Stone,Drama,John Curran
Molière,Romance Drama Comedy,Laurent Tirard
Out of the Furnace,Thriller Drama Crime,Scott Cooper
Michael Clayton,Drama Mystery Crime,Tony Gilroy
My Fellow Americans,Comedy Drama,Peter Segal
Arlington Road,Drama Thriller Mystery,Mark Pellington
